"MovieID","no_ratings","avg_ratings","Title","Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
24,624,3.17948717948718,"Powder (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25,980,3.65102040816327,"Leaving Las Vegas (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26,100,3.53,"Othello (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,61,2.9344262295082,"Now and Then (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,179,4.05586592178771,"Persuasion (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,403,4.06203473945409,"City of Lost Children, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,74,3.64864864864865,"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,141,3.11347517730496,"Dangerous Minds (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,1511,3.94573130377234,"Twelve Monkeys (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33,4,3,"Wings of Courage (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,1751,3.89149057681325,"Babe (1995)",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35,70,3.31428571428571,"Carrington (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
36,928,3.95797413793103,"Dead Man Walking (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,8,3.5,"Across the Sea of Time (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,28,2.82142857142857,"It Takes Two (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1362,3.62334801762115,"Clueless (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40,30,3.93333333333333,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,242,3.95867768595041,"Richard III (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
42,221,2.86877828054299,"Dead Presidents (1995)",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,166,3.44578313253012,"Restoration (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,311,2.78778135048232,"Mortal Kombat (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,544,3.42463235294118,"To Die For (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,166,3.10843373493976,"How to Make an American Quilt (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
47,1137,4.10642040457344,"Seven (Se7en) (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
48,382,2.97643979057592,"Pocahontas (1995)",0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
49,27,3.74074074074074,"When Night Is Falling (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
50,1783,4.5171060011217,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52,431,3.64037122969838,"Mighty Aphrodite (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,8,4.75,"Lamerica (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,41,2.5609756097561,"Big Green, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,45,3.06666666666667,"Georgia (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,9,2,"Kids of the Round Table (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,99,3.4040404040404,"Home for the Holidays (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,501,4.0938123752495,"Postino, Il (The Postman) (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,8,2.75,"Confessional, The (Le Confessionnal) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
60,357,3.21288515406162,"Indian in the Cupboard, The (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,67,3,"Eye for an Eye (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,541,3.69685767097967,"Mr. Holland's Opus (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,111,2.85585585585586,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,79,2.26582278481013,"Two if by Sea (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
65,143,2.06293706293706,"Bio-Dome (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,97,1.67010309278351,"Lawnmower Man 2: Beyond Cyberspace (1996)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
67,4,3.25,"Two Bits (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,60,3.45,"French Twist (Gazon maudit) (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
69,319,3.6551724137931,"Friday (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,914,3.15645514223195,"From Dusk Till Dawn (1996)",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
71,96,2.10416666666667,"Fair Game (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,93,3.63440860215054,"Kicking and Screaming (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,224,3.81696428571429,"Misérables, Les (1995)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
74,120,2.975,"Bed of Roses (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75,12,1.91666666666667,"Big Bully (1996)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
76,178,2.85393258426966,"Screamers (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
77,34,3.76470588235294,"Nico Icon (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,50,3.26,"Crossing Guard, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,114,2.60526315789474,"Juror, The (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,52,3.82692307692308,"White Balloon, The (Badkonake Sefid ) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,166,3.16265060240964,"Things to Do in Denver when You're Dead (1995)",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
82,89,3.87640449438202,"Antonia's Line (Antonia) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,33,3.6969696969697,"Once Upon a Time... When We Were Colored (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,21,3.0952380952381,"Last Summer in the Hamptons (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
85,194,3.4020618556701,"Angels and Insects (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,236,3.39406779661017,"White Squall (1996)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,76,2.21052631578947,"Dunston Checks In (1996)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,192,2.94270833333333,"Black Sheep (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,229,3.07423580786026,"Nick of Time (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
90,6,3.66666666666667,"Journey of August King, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,88,2.34090909090909,"Mary Reilly (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
93,89,2.23595505617978,"Vampire in Brooklyn (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
94,182,3.72527472527473,"Beautiful Girls (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,638,2.87617554858934,"Broken Arrow (1996)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,13,3.92307692307692,"In the Bleak Midwinter (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,44,3.75,"Hate (Haine, La) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,6,2,"Shopping (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,50,3.46,"Heidi Fleiss: Hollywood Madam (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,128,3.0625,"City Hall (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
101,253,3.8695652173913,"Bottle Rocket (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102,60,1.81666666666667,"Mr. Wrong (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,33,3.21212121212121,"Unforgettable (1996)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,682,3.52639296187683,"Happy Gilmore (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,387,3.23255813953488,"Bridges of Madison County, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
106,12,3.58333333333333,"Nobody Loves Me (Keiner liebt mich) (1994)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
107,256,3.1484375,"Muppet Treasure Island (1996)",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
108,7,2.85714285714286,"Catwalk (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,2443,4.23495702005731,"Braveheart (1995)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
111,1240,4.18387096774194,"Taxi Driver (1976)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
112,570,3.44385964912281,"Rumble in the Bronx (1995)",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
113,53,2.9811320754717,"Before and After (1996)",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
114,11,3.09090909090909,"Margaret's Museum (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,41,4.09756097560976,"Anne Frank Remembered (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,79,3.63291139240506,"Young Poisoner's Handbook, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,68,3.07352941176471,"If Lucy Fell (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
119,13,2.46153846153846,"Steal Big, Steal Little (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,3,2.66666666666667,"Race the Sun (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,37,4.05405405405405,"Boys of St. Vincent, The (1993)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,194,2.7680412371134,"Boomerang (1992)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
123,115,3.8695652173913,"Chungking Express (1994)",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
124,14,3.21428571428571,"Star Maker, The (Uomo delle stelle, L') (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,318,3.83333333333333,"Flirting With Disaster (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,99,1.98989898989899,"NeverEnding Story III, The (1994)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,1,1,"Silence of the Palace, The (Saimt el Qusur) (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,12,4.33333333333333,"Jupiter's Wife (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,13,3.30769230769231,"Pie in the Sky (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
130,2,4,"Angela (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,16,3.0625,"Frankie Starlight (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
132,91,2.49450549450549,"Jade (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
133,1,1,"Nueba Yol (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
134,2,4,"Sonic Outlaws (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,133,2.81203007518797,"Down Periscope (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,8,3.25,"From the Journals of Jean Seberg (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,13,3,"Man of the Year (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,2,2.5,"Neon Bible, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,1,4,"Target (1995)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,139,3.16546762589928,"Up Close and Personal (1996)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
141,682,3.54985337243402,"Birdcage, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
142,1,1,"Shadows (Cienie) (1988)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,433,3.39260969976905,"Brothers McMullen, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,362,3.29558011049724,"Bad Boys (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,18,2.88888888888889,"Amazing Panda Adventure, The (1995)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,181,3.5414364640884,"Basketball Diaries, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,23,2.78260869565217,"Awfully Big Adventure, An (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,47,3.78723404255319,"Amateur (1994)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
150,1251,4.07354116706635,"Apollo 13 (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,554,3.5884476534296,"Rob Roy (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
152,69,3,"Addiction, The (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
153,777,2.64221364221364,"Batman Forever (1995)",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
154,168,3.72619047619048,"Belle de jour (1967)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,87,3.41379310344828,"Beyond Rangoon (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
156,66,3.56060606060606,"Blue in the Face (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,187,2.73262032085561,"Canadian Bacon (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
158,259,2.98069498069498,"Casper (1995)",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,116,3.28448275862069,"Clockers (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,565,2.23893805309735,"Congo (1995)",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
161,760,3.72368421052632,"Crimson Tide (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
162,491,4.06313645621181,"Crumb (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
163,540,3.45740740740741,"Desperado (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,379,3.56728232189974,"Devil in a Blue Dress (1995)",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
165,825,3.56121212121212,"Die Hard: With a Vengeance (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166,61,2.45901639344262,"Doom Generation, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
167,5,3.6,"Feast of July (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,362,2.95027624309392,"First Knight (1995)",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
169,113,2.01769911504425,"Free Willy 2: The Adventure Home (1995)",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,321,3.14641744548287,"Hackers (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
171,93,3.56989247311828,"Jeffrey (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,458,2.5764192139738,"Johnny Mnemonic (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173,564,2.30851063829787,"Judge Dredd (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,81,2.30864197530864,"Jury Duty (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
175,220,3.47727272727273,"Kids (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,205,3.91707317073171,"Living in Oblivion (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
177,139,2.73381294964029,"Lord of Illusions (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,19,3.47368421052632,"Love & Human Remains (1993)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
179,48,2.20833333333333,"Mad Love (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
180,451,3.54767184035477,"Mallrats (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
181,93,1.61290322580645,"Mighty Morphin Power Rangers: The Movie (1995)",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,49,3.14285714285714,"Moonlight and Valentino (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
183,29,3.48275862068966,"Mute Witness (1994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,26,3.34615384615385,"Nadja (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,569,2.86994727592267,"Net, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
186,211,2.76303317535545,"Nine Months (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187,105,3.23809523809524,"Party Girl (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188,190,3.22105263157895,"Prophecy, The (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,15,3.4,"Reckless (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,100,3.75,"Safe (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
191,75,2.46666666666667,"Scarlet Letter, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,2,3,"Show, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,217,2.05069124423963,"Showgirls (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
194,213,3.75586854460094,"Smoke (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
195,164,2.84146341463415,"Something to Talk About (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
196,550,2.82363636363636,"Species (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
197,17,3.05882352941176,"Stars Fell on Henrietta, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,605,3.29586776859504,"Strange Days (1995)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
199,117,3.81196581196581,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
200,12,2.41666666666667,"Tie That Binds, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
201,33,2.63636363636364,"Three Wishes (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,30,2.5,"Total Eclipse (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
203,203,3.05418719211823,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204,203,2.92118226600985,"Under Siege 2: Dark Territory (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,85,3.61176470588235,"Unstrung Heroes (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
206,82,3.67073170731707,"Unzipped (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,219,3.1324200913242,"Walk in the Clouds, A (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
208,651,2.63133640552995,"Waterworld (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,52,2.46153846153846,"White Man's Burden (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
210,41,3.14634146341463,"Wild Bill (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,34,3.55882352941176,"Browning Version, The (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
212,14,1.92857142857143,"Bushwhacked (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213,123,4.05691056910569,"Burnt By the Sun (Utomlyonnye solntsem) (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,28,4.25,"Before the Rain (Pred dozhdot) (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,160,3.80625,"Before Sunrise (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
216,355,3.1830985915493,"Billy Madison (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
217,64,2.625,"Babysitter, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
218,195,3.12820512820513,"Boys on the Side (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
219,22,3.18181818181818,"Cure, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
220,28,1.82142857142857,"Castle Freak (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222,329,3.54711246200608,"Circle of Friends (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
223,1412,3.94688385269122,"Clerks (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224,386,3.39119170984456,"Don Juan DeMarco (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
225,254,3.17322834645669,"Disclosure (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
226,1,2,"Dream Man (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
227,129,2.67441860465116,"Drop Zone (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,13,2.15384615384615,"Destiny Turns on the Radio (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,108,3.5,"Death and the Maiden (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
230,349,3.45272206303725,"Dolores Claiborne (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
